sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3363,NO2,2018-06-07T10:17:44Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/07/S5P_RPRO_L2__NO2____20180607T101744_20180607T115913_03363_03_020400_20221129T171525/S5P_RPRO_L2__NO2____20180607T101744_20180607T115913_03363_03_020400_20221129T171525.nc,1.0
3363,SO2,2018-06-07T10:17:44Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/07/S5P_RPRO_L2__SO2____20180607T101744_20180607T115913_03363_03_020401_20230118T163604/S5P_RPRO_L2__SO2____20180607T101744_20180607T115913_03363_03_020401_20230118T163604.nc,1.0
3378,HCHO,2018-06-08T11:40:12Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/08/S5P_RPRO_L2__HCHO___20180608T114012_20180608T132142_03378_03_020401_20230118T175505/S5P_RPRO_L2__HCHO___20180608T114012_20180608T132142_03378_03_020401_20230118T175505.nc,1.0
3378,NO2,2018-06-08T11:40:12Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/08/S5P_RPRO_L2__NO2____20180608T114012_20180608T132142_03378_03_020400_20221129T172351/S5P_RPRO_L2__NO2____20180608T114012_20180608T132142_03378_03_020400_20221129T172351.nc,1.0
3378,SO2,2018-06-08T11:40:12Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/08/S5P_RPRO_L2__SO2____20180608T114012_20180608T132142_03378_03_020401_20230118T183405/S5P_RPRO_L2__SO2____20180608T114012_20180608T132142_03378_03_020401_20230118T183405.nc,1.0
3392,HCHO,2018-06-09T11:21:10Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/09/S5P_RPRO_L2__HCHO___20180609T112110_20180609T130240_03392_03_020401_20230118T193128/S5P_RPRO_L2__HCHO___20180609T112110_20180609T130240_03392_03_020401_20230118T193128.nc,1.0
3392,NO2,2018-06-09T11:21:10Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/09/S5P_RPRO_L2__NO2____20180609T112110_20180609T130240_03392_03_020400_20221129T172503/S5P_RPRO_L2__NO2____20180609T112110_20180609T130240_03392_03_020400_20221129T172503.nc,1.0
3392,SO2,2018-06-09T11:21:10Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/09/S5P_RPRO_L2__SO2____20180609T112110_20180609T130240_03392_03_020401_20230118T204619/S5P_RPRO_L2__SO2____20180609T112110_20180609T130240_03392_03_020401_20230118T204619.nc,1.0
3420,HCHO,2018-06-11T10:43:06Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/11/S5P_RPRO_L2__HCHO___20180611T104306_20180611T122436_03420_03_020401_20230118T231037/S5P_RPRO_L2__HCHO___20180611T104306_20180611T122436_03420_03_020401_20230118T231037.nc,1.0
3420,NO2,2018-06-11T10:43:06Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/11/S5P_RPRO_L2__NO2____20180611T104306_20180611T122436_03420_03_020400_20221129T174149/S5P_RPRO_L2__NO2____20180611T104306_20180611T122436_03420_03_020400_20221129T174149.nc,1.0
3420,SO2,2018-06-11T10:43:06Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/11/S5P_RPRO_L2__SO2____20180611T104306_20180611T122436_03420_03_020401_20230119T003612/S5P_RPRO_L2__SO2____20180611T104306_20180611T122436_03420_03_020401_20230119T003612.nc,1.0
3434,HCHO,2018-06-12T10:24:04Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/12/S5P_RPRO_L2__HCHO___20180612T102404_20180612T120534_03434_03_020401_20230119T011018/S5P_RPRO_L2__HCHO___20180612T102404_20180612T120534_03434_03_020401_20230119T011018.nc,1.0
